t_n,r_n,p_n,F(t_n)
0.0,1.3,0.0,-2.239979929791143
0.01,1.2998880010035105,-0.02240245616751367,-2.2405113037115916
0.02,1.2995519508766498,-0.044815524459819386,-2.242102354749553
0.03,1.298991690514314,-0.06724975507699223,-2.244743768685014
0.04,1.2982069557751097,-0.08971557231404619,-2.2484196787257784
0.05,1.297197379068033,-0.11222320641035897,-2.2531071405367804
0.06,1.2959624916469026,-0.13478261899446334,-2.2587753762840936
0.07,1.2945017266881438,-0.15740341970544186,-2.2653847659116124
0.08,1.2928144232527936,-0.18009477131749121,-2.272885556498256
0.09,1.2908998312617939,-0.2028652803613278,-2.2812162522690613
0.1,1.288757117645567,-0.22572286981469694,-2.290301638404763
0.11,1.2863853738654998,-0.2486746299113849,-2.300050380932829
0.12,1.2837836250473393,-0.2717266424779357,-2.3103521323773326
0.13,1.2809508410159411,-0.2948837734305729,-2.3210740581501095
0.14,1.277885949578728,-0.31814942712883443,-2.332056681502193
0.15,1.2745878524733645,-0.3415252551604289,-2.3431089248167067
0.16,1.2710554444755193,-0.3650108107929774,-2.3540022016929925
0.17,1.2672876362575047,-0.38860313873765806,-2.364463387243129
0.18,1.263283381700766,-0.4122962879886497,-2.374166462955196
0.19,1.2590417104977318,-0.4360807332892951,-2.3827225971738777
0.2,1.2545617670349802,-0.45994268818905093,-2.389668382777294
0.21,1.2498428567339508,-0.4838632896555398,-2.394451910520482
0.22,1.2448845012418692,-0.5078176307634436,-2.396416311060255
0.23,1.2396865041186818,-0.5317736140855611,-2.3947803533632506
0.24,1.234249028960158,-0.5556905940842318,-2.3886156463708836
0.25,1.2285726922369973,-0.5795177721240453,-2.376819961591804
0.26,1.2226586735176772,-0.6031923028720229,-2.3580861880037007
0.27,1.2165088461795568,-0.6266370661350855,-2.3308664646088406
0.28,1.2101259321949756,-0.6497580541390967,-2.293331136193398
0.29,1.203513685096775,-0.6724413217321737,-2.2433223824220145
0.3,1.1966771057603323,-0.6945494473148582,-2.178302734114875
0.31,1.1896226961504779,-0.7159174574366484,-2.0952992902431444
0.32,1.1823587566115994,-0.7363481808368318,-1.9908453897935563
0.33,1.1748957325337415,-0.7556070223496294,-1.8609229127659461
0.34,1.167246616164607,-0.7734161892079099,-1.7009104588901538
0.35000000000000003,1.1594274087495833,-0.7894484694363727,-1.505545586802413
0.36,1.1514576467758793,-0.8033207638979423,-1.2689133055114987
0.37,1.1433609934716242,-0.8145877217612005,-0.9844782671401484
0.38,1.1351658923406553,-0.8227360363177487,-0.6451846441694977
0.39,1.1269062727452694,-0.8271802354923343,-0.2436551907476292
0.4,1.1186222876308087,-0.8272611543523978,0.22747141873494758
0.41000000000000003,1.1103610496582217,-0.822248696617652,0.77502012821421
0.42,1.102177313698456,-0.8113509431094694,1.4045305734222984
0.43,1.0941340307960326,-0.7937320681421193,2.119244420047732
0.44,1.0863026723356137,-0.7685417385097849,2.918821506419148
0.45,1.078763196025837,-0.7349584771203334,3.79783077147117
0.46,1.0716035027932074,-0.6922485905299185,4.744146546611811
0.47000000000000003,1.0649182242152389,-0.6398403879131735,5.737493976737185
0.48,1.058806695034944,-0.5774103651272638,6.748510580444764
0.49,1.0533700169126936,-0.5049738975906783,7.738782926872331
0.5,1.0487072170831304,-0.42296840795373963,8.662315000515408
0.51,1.0449106487536186,-0.3323132281264333,9.468720964945858
0.52,1.0420609525206015,-0.23442923777433505,10.1080771054738
0.53,1.0402220639981319,-0.13120452738114252,10.536864973164707
0.54,1.0394368619729788,-0.0249004774947858,10.723945004106637
0.55,1.0397240544482362,0.08199544280487608,10.655239055825742
0.56,1.0410767708290762,0.18695139872549155,10.335952128297354
0.5700000000000001,1.043463082422746,0.28757987709960614,9.78974354652556
0.58,1.0468283683710682,0.3818039450401728,9.055070041587772
0.59,1.0510991613235492,0.46797752840253254,8.179646630884175
0.6,1.0561879189391188,0.5449474290406523,7.21433349673977
0.61,1.0619981099043623,0.6120574628239189,6.207673259913547
0.62,1.068429068195597,0.6691052788244759,5.201889940197853
0.63,1.0753802154808516,0.7162679168414409,4.23063766319514
0.64,1.0827544265324258,0.7540128518399466,3.3183493365060075
0.65,1.0904604725176505,0.783008506080901,2.4807815116848637
0.66,1.098414596654044,0.8040438211636743,1.7262815048698084
0.67,1.1065413489409242,0.8179620270406727,1.0573596705298627
0.68,1.1147738371948575,0.825610150686,0.4722650585356001
0.6900000000000001,1.1230535519546443,0.8278033966239781,-0.03361587093998519
0.7000000000000001,1.131329905127337,0.8253022232120378,-0.4666188114480665
0.71,1.1395595964188852,0.818799463063904,-0.8339332181786832
0.72,1.1477058943886154,0.8089148923145111,-1.1429809316999084
0.73,1.1557378942651755,0.7961949904194828,-1.4009994473057366
0.74,1.1636297941970049,0.7811160740628875,-1.6147838240133345
0.75,1.171360215746433,0.7640894296004568,-1.790545068472817
0.76,1.178911582789014,0.7454674548364381,-1.9338498843309275
0.77,1.1862695648431618,0.7255501334482415,-2.049614393308395
0.78,1.1934225854579787,0.7045914040267476,-2.142131490990376
0.79,1.2003613929236967,0.6828051597604304,-2.2151173622730536
0.8,1.2070786886531872,0.6603707366736169,-2.2717672550896624
0.81,1.213568807657169,0.6374378303016811,-2.3148140192974958
0.8200000000000001,1.2198274452592208,0.6141308333804933,-2.346585364940066
0.8300000000000001,1.2258514243247787,0.5905526190826319,-2.3690574946322287
0.84,1.2316384976408734,0.5667878120643546,-2.38390390902324
0.85,1.237187180566066,0.5429055978814081,-2.392538927566061
0.86,1.2424966095985017,0.5189621235977306,-2.396155929169429
0.87,1.2475664230380206,0.4950025410124259,-2.3957605878915214
0.88,1.2523966604187502,0.4710627404632178,-2.3921995219501095
0.89,1.2569876778472848,0.44717081867737024,-2.3861848352194
0.9,1.2613400767922975,0.4233483193002508,-2.3783150402044906
0.91,1.2654546442332897,0.39961127994313284,-2.369092831219104
0.92,1.26933230239116,0.37597111508719755,-2.3589401399679537
0.93,1.2729740665350338,0.3524353600782367,-2.3482108618242057
0.9400000000000001,1.2763810095927248,0.3290082977926205,-2.337201595299043
